date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,serial
2020-03-15,136.0,83.0,0.0,0.0,0.0,149.0,833.0,0.0,0.0,0.0,0.0,0.0,52.78,1
2020-03-16,236.0,100.0,0.0,0.0,2.69,292.0,1125.0,0.0,0.0,0.0,0.0,0.0,52.78,2
2020-03-17,299.0,63.0,0.0,0.0,2.6,16.0,1141.0,0.0,0.0,0.0,0.0,0.0,52.78,3
2020-03-18,454.0,155.0,2.0,2.0,2.51,1022.0,2163.0,0.2562,3.9,0.0,0.0,0.0,52.78,4
2020-03-19,501.0,47.0,3.0,1.0,2.36,1247.0,3410.0,0.1644,6.1,0.0,0.0,0.0,52.78,5
2020-03-20,730.0,229.0,3.0,0.0,2.26,591.0,4001.0,0.2059,4.9,0.0,0.0,0.0,52.78,6
2020-03-21,776.0,46.0,5.0,2.0,2.07,1224.0,5225.0,0.1591,6.3,0.0,0.0,0.0,55.56,7
2020-03-22,875.0,99.0,6.0,1.0,1.93,219.0,5444.0,0.1602,6.2,0.0,0.0,0.0,55.56,8
2020-03-23,972.0,97.0,7.0,1.0,1.81,413.0,5857.0,0.1555,6.4,0.0,0.0,0.0,85.19,9
2020-03-24,1063.0,91.0,8.0,1.0,1.75,266.0,6123.0,0.1533,6.5,0.0,0.0,0.0,93.52,10
2020-03-25,1201.0,138.0,9.0,1.0,1.7,326.0,6449.0,0.1744,5.7,0.0,0.0,0.0,93.52,11
2020-03-26,1373.0,172.0,11.0,2.0,1.68,1386.0,7835.0,0.1971,5.1,0.0,0.0,0.0,96.3,12
2020-03-27,1495.0,122.0,12.0,1.0,1.63,5396.0,13231.0,0.0829,12.1,0.0,0.0,0.0,96.3,13
2020-03-28,1597.0,102.0,14.0,2.0,1.61,1105.0,14336.0,0.0901,11.1,0.0,0.0,0.0,96.3,14
2020-03-29,1717.0,120.0,21.0,7.0,1.61,412.0,14748.0,0.0905,11.0,0.0,0.0,0.0,96.3,15
2020-03-30,1938.0,221.0,26.0,5.0,1.62,935.0,15683.0,0.0983,10.2,0.0,0.0,0.0,96.3,16
2020-03-31,2118.0,180.0,27.0,1.0,1.62,284.0,15967.0,0.1072,9.3,0.0,0.0,0.0,96.3,17
2020-04-01,2421.0,303.0,34.0,7.0,1.63,1357.0,17324.0,0.1122,8.9,0.0,0.0,0.0,96.3,18
2020-04-02,2686.0,265.0,40.0,6.0,1.62,12984.0,30308.0,0.0584,17.1,0.0,0.0,0.0,96.3,19
2020-04-03,2818.0,132.0,41.0,1.0,1.59,2622.0,32930.0,0.0672,14.9,0.0,0.0,0.0,96.3,20
2020-04-04,3157.0,339.0,47.0,6.0,1.6,1955.0,34885.0,0.0759,13.2,0.0,0.0,0.0,96.3,21
2020-04-05,3766.0,609.0,53.0,6.0,1.58,990.0,35875.0,0.097,10.3,0.0,0.0,0.0,96.3,22
2020-04-06,4035.0,269.0,57.0,4.0,1.48,3308.0,39183.0,0.0892,11.2,0.0,0.0,0.0,96.3,23
2020-04-07,4263.0,228.0,61.0,4.0,1.4,2976.0,42159.0,0.0819,12.2,0.0,0.0,0.0,96.3,24
2020-04-08,4489.0,226.0,65.0,4.0,1.35,2737.0,44896.0,0.075,13.3,0.0,0.0,0.0,96.3,25
2020-04-09,4695.0,206.0,66.0,1.0,1.34,9810.0,54706.0,0.0824,12.1,0.0,0.0,0.0,96.3,26
2020-04-10,5011.0,316.0,86.0,20.0,1.34,3130.0,57836.0,0.0881,11.4,0.0,0.0,0.0,96.3,27
2020-04-11,5230.0,219.0,91.0,5.0,1.34,3965.0,61801.0,0.077,13.0,0.0,0.0,0.0,96.3,28
2020-04-12,5496.0,266.0,93.0,2.0,1.36,3313.0,65114.0,0.0592,16.9,0.0,0.0,0.0,96.3,29
2020-04-13,5837.0,341.0,96.0,3.0,1.39,4814.0,69928.0,0.0586,17.1,0.0,0.0,0.0,96.3,30
2020-04-14,6383.0,546.0,111.0,15.0,1.43,3511.0,73439.0,0.0678,14.8,0.0,0.0,0.0,96.3,31
2020-04-15,6919.0,536.0,128.0,17.0,1.44,5540.0,78979.0,0.0713,14.0,0.0,0.0,0.0,92.59,32
2020-04-16,7025.0,106.0,135.0,7.0,1.44,5725.0,84704.0,0.0777,12.9,0.0,0.0,0.0,92.59,33
2020-04-17,7638.0,613.0,143.0,8.0,1.48,7844.0,92548.0,0.0757,13.2,0.0,0.0,0.0,92.59,34
2020-04-18,8348.0,710.0,168.0,25.0,1.51,5974.0,98522.0,0.0849,11.8,0.0,0.0,0.0,92.59,35
2020-04-19,8418.0,70.0,176.0,8.0,1.5,5780.0,104302.0,0.0746,13.4,0.0,0.0,0.0,92.59,36
2020-04-20,9565.0,1147.0,201.0,25.0,1.55,0.0,0.0,0.0978,10.2,0.0,0.0,0.0,92.59,37
2020-04-21,10076.0,511.0,212.0,11.0,1.52,0.0,111806.0,0.0963,10.4,0.0,0.0,0.0,92.59,38
2020-04-22,11155.0,1079.0,237.0,25.0,1.51,6214.0,118020.0,0.1085,9.2,0.0,0.0,0.0,92.59,39
2020-04-23,11940.0,785.0,253.0,16.0,1.47,6529.0,124549.0,0.1234,8.1,0.0,0.0,0.0,92.59,40
2020-04-24,12723.0,783.0,269.0,16.0,1.43,6816.0,131365.0,0.131,7.6,0.0,0.0,0.0,89.81,41
2020-04-25,13328.0,605.0,281.0,12.0,1.4,6782.0,138147.0,0.1257,8.0,0.0,0.0,0.0,89.81,42
2020-04-26,13915.0,587.0,292.0,11.0,1.38,6218.0,144365.0,0.1372,7.3,0.0,0.0,0.0,89.81,43
2020-04-27,14612.0,697.0,312.0,20.0,1.38,6391.0,150756.0,0.1182,8.5,0.0,0.0,0.0,89.81,44
2020-04-28,15525.0,913.0,343.0,31.0,1.4,6467.0,157223.0,0.12,8.3,0.0,0.0,0.0,89.81,45
2020-04-29,16817.0,1292.0,385.0,42.0,1.41,8688.0,165911.0,0.1182,8.5,0.0,0.0,0.0,89.81,46
2020-04-30,18114.0,1297.0,417.0,32.0,1.41,8249.0,174160.0,0.1245,8.0,0.0,0.0,0.0,89.81,47
2020-05-01,19103.0,989.0,440.0,23.0,1.38,7971.0,182131.0,0.1257,8.0,0.0,0.0,0.0,89.81,48
2020-05-02,20084.0,981.0,457.0,17.0,1.37,11728.0,193859.0,0.1213,8.2,0.0,0.0,0.0,89.81,49
2020-05-03,20941.0,857.0,476.0,19.0,1.36,9166.0,203025.0,0.1198,8.3,0.0,0.0,0.0,89.81,50
2020-05-04,22049.0,1108.0,514.0,38.0,1.37,9486.0,212511.0,0.1204,8.3,0.0,0.0,0.0,89.81,51
2020-05-05,24073.0,2024.0,564.0,50.0,1.39,9893.0,222404.0,0.1311,7.6,0.0,0.0,0.0,89.81,52
2020-05-06,24644.0,571.0,585.0,21.0,1.36,10178.0,232582.0,0.1174,8.5,0.0,0.0,0.0,89.81,53
2020-05-07,26435.0,1791.0,599.0,14.0,1.38,12196.0,244778.0,0.1178,8.5,0.0,0.0,0.0,89.81,54
2020-05-08,28736.0,2301.0,636.0,37.0,1.38,12469.0,257247.0,0.1282,7.8,0.0,0.0,0.0,89.81,55
2020-05-09,30334.0,1598.0,659.0,23.0,1.34,12778.0,270025.0,0.1346,7.4,0.0,0.0,0.0,89.81,56
2020-05-10,32081.0,1747.0,706.0,47.0,1.31,13492.0,283517.0,0.1384,7.2,0.0,0.0,0.0,89.81,57
2020-05-11,34336.0,2255.0,737.0,31.0,1.26,11377.0,294894.0,0.1491,6.7,0.0,0.0,0.0,89.81,58
2020-05-12,35298.0,962.0,761.0,24.0,1.21,10957.0,305851.0,0.1345,7.4,0.0,0.0,0.0,89.81,59
2020-05-13,35788.0,490.0,770.0,9.0,1.18,11848.0,317699.0,0.1309,7.6,0.0,0.0,0.0,89.81,60
2020-05-14,38799.0,3011.0,834.0,64.0,1.2,13051.0,330750.0,0.1438,7.0,0.0,0.0,0.0,89.81,61
2020-05-15,38799.0,0.0,834.0,0.0,1.17,13700.0,344450.0,0.1154,8.7,0.0,0.0,0.0,89.81,62
2020-05-16,40151.0,1352.0,873.0,39.0,1.19,14814.0,359264.0,0.11,9.1,0.0,0.0,0.0,78.7,63
